alpha,n,result
0.9807692307692308,119,1
0.9807692307692308,120,1
0.9807692307692308,121,1
0.9807692307692308,122,1
0.9807692307692308,123,1
0.9807692307692308,124,1
0.9807692307692308,125,1
0.9807692307692308,126,1
0.9807692307692308,127,1
0.9807692307692308,128,1
0.9807692307692308,129,1
0.9807692307692308,130,1
0.9807692307692308,131,1
0.9807692307692308,132,1
0.9807692307692308,133,1
0.9807692307692308,134,1
0.9807692307692308,135,1
0.9807692307692308,136,1
0.9807692307692308,137,1
0.9807692307692308,138,1
0.9807692307692308,139,1
0.9807692307692308,140,1
0.9807692307692308,141,1
0.9807692307692308,142,1
0.9807692307692308,143,1
0.9807692307692308,144,1
0.9807692307692308,145,1
0.9807692307692308,146,1
0.9807692307692308,147,1
0.9807692307692308,148,1
0.9807692307692308,149,1
0.9807692307692308,150,1
0.9807692307692308,151,1
0.9807692307692308,152,1
0.9807692307692308,153,1
0.9807692307692308,154,1
0.9807692307692308,155,1
0.9807692307692308,156,1
0.9807692307692308,157,1
0.9807692307692308,158,1
0.9807692307692308,159,1
0.9807692307692308,160,1
0.9807692307692308,161,1
0.9807692307692308,162,1
0.9807692307692308,163,1
0.9807692307692308,164,1
0.9807692307692308,165,1
0.9807692307692308,166,1
0.9807692307692308,167,1
0.9807692307692308,168,1
0.9807692307692308,169,1
0.9807692307692308,170,1
0.9807692307692308,171,1
0.9807692307692308,172,1
0.9807692307692308,173,1
0.9807692307692308,174,1
0.9807692307692308,175,1
0.9807692307692308,176,1
0.9807692307692308,177,1
0.9807692307692308,178,1
0.9807692307692308,179,1
0.9807692307692308,180,1
0.9807692307692308,181,1
0.9807692307692308,182,1
0.9807692307692308,183,1
0.9807692307692308,184,1
0.9807692307692308,185,1
0.9807692307692308,186,1
0.9807692307692308,187,1
0.9807692307692308,188,1
0.9807692307692308,189,1
0.9807692307692308,190,1
0.9807692307692308,191,1
0.9807692307692308,192,1
0.9807692307692308,193,1
0.9807692307692308,194,1
0.9807692307692308,195,1
0.9807692307692308,196,1
0.9807692307692308,197,1
0.9807692307692308,198,1
0.9807692307692308,199,1
1.0384615384615385,0,1
1.0384615384615385,1,1
1.0384615384615385,2,1
1.0384615384615385,3,1
1.0384615384615385,4,1
1.0384615384615385,5,1
1.0384615384615385,6,1
1.0384615384615385,7,1
1.0384615384615385,8,1
1.0384615384615385,9,1
1.0384615384615385,10,1
1.0384615384615385,11,1
1.0384615384615385,12,1
1.0384615384615385,13,1
1.0384615384615385,14,1
1.0384615384615385,15,1
1.0384615384615385,16,1
1.0384615384615385,17,1
1.0384615384615385,18,1
1.0384615384615385,19,1
1.0384615384615385,20,1
1.0384615384615385,21,1
1.0384615384615385,22,1
1.0384615384615385,23,1
1.0384615384615385,24,1
1.0384615384615385,25,1
1.0384615384615385,26,1
1.0384615384615385,27,1
1.0384615384615385,28,1
1.0384615384615385,29,1
1.0384615384615385,30,1
1.0384615384615385,31,1
1.0384615384615385,32,1
1.0384615384615385,33,1
1.0384615384615385,34,1
1.0384615384615385,35,1
1.0384615384615385,36,1
1.0384615384615385,37,1
1.0384615384615385,38,1
1.0384615384615385,39,1
1.0384615384615385,40,1
1.0384615384615385,41,1
1.0384615384615385,42,1
1.0384615384615385,43,1
1.0384615384615385,44,1
1.0384615384615385,45,1
1.0384615384615385,46,1
1.0384615384615385,47,1
1.0384615384615385,48,1
1.0384615384615385,49,1
1.0384615384615385,50,1
1.0384615384615385,51,1
1.0384615384615385,52,1
1.0384615384615385,53,1
1.0384615384615385,54,1
1.0384615384615385,55,1
1.0384615384615385,56,1
1.0384615384615385,57,1
1.0384615384615385,58,1
1.0384615384615385,59,1
1.0384615384615385,60,1
1.0384615384615385,61,1
1.0384615384615385,62,1
1.0384615384615385,63,1
1.0384615384615385,64,1
1.0384615384615385,65,1
1.0384615384615385,66,1
1.0384615384615385,67,1
1.0384615384615385,68,1
1.0384615384615385,69,1
1.0384615384615385,70,1
1.0384615384615385,71,1
1.0384615384615385,72,1
1.0384615384615385,73,1
1.0384615384615385,74,1
1.0384615384615385,75,1
1.0384615384615385,76,1
1.0384615384615385,77,1
1.0384615384615385,78,1
1.0384615384615385,79,1
1.0384615384615385,80,1
1.0384615384615385,81,1
1.0384615384615385,82,1
1.0384615384615385,83,1
1.0384615384615385,84,1
1.0384615384615385,85,1
1.0384615384615385,86,1
1.0384615384615385,87,1
1.0384615384615385,88,1
1.0384615384615385,89,1
1.0384615384615385,90,1
1.0384615384615385,91,1
1.0384615384615385,92,1
1.0384615384615385,93,1
1.0384615384615385,94,1
1.0384615384615385,95,1
1.0384615384615385,96,1
1.0384615384615385,97,1
1.0384615384615385,98,1
1.0384615384615385,99,1
1.0384615384615385,100,1
1.0384615384615385,101,1
1.0384615384615385,102,1
1.0384615384615385,103,1
1.0384615384615385,104,1
1.0384615384615385,105,1
1.0384615384615385,106,1
1.0384615384615385,107,1
1.0384615384615385,108,1
1.0384615384615385,109,1
1.0384615384615385,110,1
1.0384615384615385,111,1
1.0384615384615385,112,1
1.0384615384615385,113,1
1.0384615384615385,114,1
1.0384615384615385,115,1
1.0384615384615385,116,1
1.0384615384615385,117,1
1.0384615384615385,118,1
1.0384615384615385,119,1
1.0384615384615385,120,1
1.0384615384615385,121,1
1.0384615384615385,122,1
1.0384615384615385,123,1
1.0384615384615385,124,1
1.0384615384615385,125,1
1.0384615384615385,126,1
1.0384615384615385,127,1
1.0384615384615385,128,1
1.0384615384615385,129,1
1.0384615384615385,130,1
1.0384615384615385,131,1
1.0384615384615385,132,1
1.0384615384615385,133,1
1.0384615384615385,134,1
1.0384615384615385,135,1
1.0384615384615385,136,1
1.0384615384615385,137,1
1.0384615384615385,138,1
1.0384615384615385,139,1
1.0384615384615385,140,1
1.0384615384615385,141,1
1.0384615384615385,142,1
1.0384615384615385,143,1
1.0384615384615385,144,1
1.0384615384615385,145,1
1.0384615384615385,146,1
1.0384615384615385,147,1
1.0384615384615385,148,1
1.0384615384615385,149,1
