P,Q,t,eta,E,E_test
2000,200,1250,0.05,0.0386033959369461,0.0386202520495125
2000,200,1300,0.05,0.03741854473240034,0.037707706627581314
2000,200,1350,0.05,0.03713912502020674,0.037431579729651575
2000,200,1400,0.05,0.03777476300491417,0.03806797469976909
2000,200,1450,0.05,0.037472537895208775,0.03777361221873695
2000,200,1500,0.05,0.040708416942824774,0.03961184437877301
2000,200,1550,0.05,0.04018619508767906,0.03903808089808341
2000,200,1600,0.05,0.040094054327219415,0.03869706166830297
2000,200,1650,0.05,0.03957336618198503,0.038538359408509
2000,200,1700,0.05,0.03925585005972069,0.038080059076961506
2000,200,1750,0.05,0.038368280090193274,0.036370874240571754
2000,200,1800,0.05,0.0391926961747615,0.03935830698508032
2000,200,1850,0.05,0.03855086638374591,0.039481399625956565
2000,200,1900,0.05,0.038051775310870485,0.03878389004355781
2000,200,1950,0.05,0.037825656280070126,0.0383882282217823
2000,200,2000,0.05,0.03692196437460536,0.03609291688781279
2000,200,2050,0.05,0.036416214223636265,0.03560257201571681
2000,200,2100,0.05,0.03612129944643954,0.034737200116427794
2000,200,2150,0.05,0.035554148993848685,0.03434690977915902
2000,200,2200,0.05,0.03558578836227325,0.034536889289451145
2000,200,2250,0.05,0.035261537985581196,0.03377020179297752
2000,200,2300,0.05,0.03515337025127337,0.033957050385313596
2000,200,2350,0.05,0.035317434017210096,0.03380803364526531
2000,200,2400,0.05,0.03514053054273148,0.03313477242076032
2000,200,2450,0.05,0.03457541130259247,0.033137109256475845
2000,200,2500,0.05,0.03426335641523568,0.033607793392525696
2000,200,2550,0.05,0.03426218524638737,0.033918802544999085
2000,200,2600,0.05,0.034051192754676635,0.03346253346372155
2000,200,2650,0.05,0.03376382609422582,0.03309851469151731
2000,200,2700,0.05,0.03324323783038974,0.03333467851495731
2000,200,2750,0.05,0.03309286495931034,0.032854136109755606
2000,200,2800,0.05,0.03311656732835026,0.03253067071560873
2000,200,2850,0.05,0.03306591537887223,0.032597750771374986
2000,200,2900,0.05,0.0333339814370165,0.03235673034303324
2000,200,2950,0.05,0.03333018501289158,0.032564906169895616
2000,200,3000,0.05,0.03302333890134057,0.032250586591674034
2000,200,3050,0.05,0.03287119658176605,0.032372615825920936
2000,200,3100,0.05,0.03269653573581373,0.03206272670522963
2000,200,3150,0.05,0.03269794071704996,0.031503576069970354
2000,200,3200,0.05,0.032570244480535866,0.030931235757579015
2000,200,3250,0.05,0.03251007449827831,0.03045299127314191
2000,200,3300,0.05,0.032399231666732566,0.031205306752078322
2000,200,3350,0.05,0.03238080477600055,0.03140131434622453
2000,200,3400,0.05,0.03242397166812336,0.03171620824972014
2000,200,3450,0.05,0.0326677206469255,0.03159422200010494
2000,200,3500,0.05,0.032537081769601676,0.03159191915622443
2000,200,3550,0.05,0.032059256300216214,0.031143245128463056
2000,200,3600,0.05,0.0319242610088744,0.030948322989461385
2000,200,3650,0.05,0.03161697983870174,0.031067574331884187
2000,200,3700,0.05,0.03166262636275262,0.03120298333306954
2000,200,3750,0.05,0.03144665807439964,0.030904546810873137
2000,200,3800,0.05,0.031257450039369576,0.031043846069454744
